trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1782,False,"{'a': 0.002, 'e': 0.02832529662288112}",20,6,23.66885273986926,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
1783,False,"{'a': 0.002, 'e': 0.028268702642480412}",30,8,36.015138255485816,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
1784,False,"{'a': 0.002, 'e': 0.02821222173692798}",25,6,32.04636217925684,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
1785,False,"{'a': 0.002, 'e': 0.028155853680300096}",20,12,12.826762710137118,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1786,False,"{'a': 0.002, 'e': 0.028099598247124487}",25,5,20.093770906478657,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
1787,False,"{'a': 0.002, 'e': 0.02804345521237932}",20,11,18.152299401955005,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
1788,False,"{'a': 0.002, 'e': 0.027987424351492405}",35,21,18.79743096103539,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
1789,False,"{'a': 0.002, 'e': 0.027931505440340204}",25,16,6.087588846248181,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
1790,False,"{'a': 0.002, 'e': 0.027875698255247015}",30,0,48.32636570372762,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
1791,False,"{'a': 0.002, 'e': 0.027820002572984004}",25,0,31.249056569663583,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
1792,False,"{'a': 0.002, 'e': 0.02776441817076839}",25,13,22.61033061443362,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1793,False,"{'a': 0.002, 'e': 0.02770894482626248}",25,16,15.988416033492687,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
1794,False,"{'a': 0.002, 'e': 0.027653582317572808}",30,16,25.971010252616836,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
1795,False,"{'a': 0.002, 'e': 0.027598330423249287}",25,13,20.13276231296652,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1796,False,"{'a': 0.002, 'e': 0.02754318892228425}",25,9,27.248998788274054,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
1797,False,"{'a': 0.002, 'e': 0.027488157594111634}",20,8,23.03587687908898,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1798,False,"{'a': 0.002, 'e': 0.027433236218606032}",30,18,7.624048677046563,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
1799,False,"{'a': 0.002, 'e': 0.027378424576081896}",25,20,11.085235126735807,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
1800,False,"{'a': 0.002, 'e': 0.02732372244729256}",25,7,32.336116057754026,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
1801,False,"{'a': 0.002, 'e': 0.027269129613429453}",20,10,19.561111207170875,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1802,False,"{'a': 0.002, 'e': 0.027214645856121145}",30,17,23.31558793163965,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
1803,False,"{'a': 0.002, 'e': 0.027160270957432564}",20,0,28.466382292434545,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
1804,False,"{'a': 0.002, 'e': 0.027106004699864013}",20,0,34.956304293350556,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
1805,False,"{'a': 0.002, 'e': 0.027051846866350416}",30,12,30.068372095130467,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
1806,False,"{'a': 0.002, 'e': 0.02699779724026034}",20,15,9.627496674015402,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
1807,False,"{'a': 0.002, 'e': 0.026943855605395233}",20,8,19.369974718010752,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1808,False,"{'a': 0.002, 'e': 0.026890021745988462}",30,18,20.024303673560468,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1809,False,"{'a': 0.002, 'e': 0.02683629544670454}",25,3,32.73162714850177,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
1810,False,"{'a': 0.002, 'e': 0.026782676492638175}",20,9,16.106119745002022,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
1811,False,"{'a': 0.002, 'e': 0.026729164669313504}",25,16,19.77300801605828,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
1812,False,"{'a': 0.002, 'e': 0.026675759762683132}",20,14,12.79363096110245,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
1813,False,"{'a': 0.002, 'e': 0.026622461559127397}",30,18,19.808818736323637,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1814,False,"{'a': 0.002, 'e': 0.02656926984545338}",20,15,9.184501848939785,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
1815,False,"{'a': 0.002, 'e': 0.02651618440889418}",25,19,11.954276513950076,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
1816,False,"{'a': 0.002, 'e': 0.026463205037107963}",20,0,33.157876967834184,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
1817,False,"{'a': 0.002, 'e': 0.026410331518177187}",35,24,22.141838659414066,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
1818,False,"{'a': 0.002, 'e': 0.02635756364060769}",25,14,22.84967314166911,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
1819,False,"{'a': 0.002, 'e': 0.026304901193327908}",20,12,13.52352390073376,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1820,False,"{'a': 0.002, 'e': 0.02625234396568796}",35,25,17.0910229320721,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1821,False,"{'a': 0.002, 'e': 0.02619989174745889}",20,12,15.91433280704258,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1822,False,"{'a': 0.002, 'e': 0.026147544328831734}",20,6,19.911861289953794,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
1823,False,"{'a': 0.002, 'e': 0.026095301500416765}",20,16,6.623198023833636,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
1824,False,"{'a': 0.002, 'e': 0.02604316305324258}",20,14,9.335108365403528,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
1825,False,"{'a': 0.002, 'e': 0.025991128778755347}",25,7,25.92188567400211,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
1826,False,"{'a': 0.002, 'e': 0.02593919846881787}",20,16,8.421524858809793,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
1827,False,"{'a': 0.002, 'e': 0.025887371915708866}",20,7,22.74764829218173,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
1828,False,"{'a': 0.002, 'e': 0.025835648912122026}",20,4,-2.639177700077992,"{0: 14, 1: 1, 2: 0, 3: 1, 4: 0}",1
1829,False,"{'a': 0.002, 'e': 0.0257840292511653}",30,15,29.122295295352654,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
1830,False,"{'a': 0.002, 'e': 0.02573251272635994}",25,16,16.103092708928045,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
1831,False,"{'a': 0.002, 'e': 0.025681099131639813}",20,4,25.020842319597612,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
1832,False,"{'a': 0.002, 'e': 0.02562978826135044}",25,15,19.911924733201218,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1833,False,"{'a': 0.002, 'e': 0.025578579910248294}",20,10,17.10799808434273,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1834,False,"{'a': 0.002, 'e': 0.025527473873499885}",30,19,20.5276929058941,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
1835,False,"{'a': 0.002, 'e': 0.025476469946681016}",25,13,22.845862698007892,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1836,False,"{'a': 0.002, 'e': 0.025425567925775893}",25,11,11.594189430398176,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
1837,False,"{'a': 0.002, 'e': 0.025374767607176385}",35,2,49.17143106456013,"{0: 33, 1: 0, 2: 0, 3: 0, 4: 0}",1
1838,False,"{'a': 0.002, 'e': 0.025324068787681127}",25,11,24.02483638152839,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
1839,False,"{'a': 0.002, 'e': 0.025273471264494796}",25,11,21.891928355920136,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
1840,False,"{'a': 0.002, 'e': 0.025222974835227212}",35,25,18.515992660359387,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1841,False,"{'a': 0.002, 'e': 0.025172579297892607}",20,2,29.509197264872725,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
1842,False,"{'a': 0.002, 'e': 0.02512228445090875}",25,18,14.343200647733756,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
1843,False,"{'a': 0.002, 'e': 0.025072090093096203}",25,20,8.971015135300641,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
1844,False,"{'a': 0.002, 'e': 0.025021996023677443}",30,13,34.32093086133628,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
1845,False,"{'a': 0.002, 'e': 0.024972002042276155}",20,0,28.914990423587,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
1846,False,"{'a': 0.002, 'e': 0.02492210794891632}",25,14,18.48651403302319,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
1847,False,"{'a': 0.002, 'e': 0.024872313544021522}",20,16,8.99073775891909,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
1848,False,"{'a': 0.002, 'e': 0.02482261862841405}",20,0,26.309280252418297,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
1849,False,"{'a': 0.002, 'e': 0.0247730230033142}",20,10,20.925641317129582,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1850,False,"{'a': 0.002, 'e': 0.024723526470339388}",25,13,24.25606974357014,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1851,False,"{'a': 0.002, 'e': 0.02467412883150343}",20,0,31.155350895597387,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
1852,False,"{'a': 0.002, 'e': 0.024624829889215685}",20,0,30.236461531723833,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
1853,False,"{'a': 0.002, 'e': 0.024575629446280337}",30,16,28.77047533207549,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
1854,False,"{'a': 0.002, 'e': 0.024526527305895537}",25,13,20.515020840243114,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1855,False,"{'a': 0.002, 'e': 0.02447752327165267}",20,10,18.57536139253244,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1856,False,"{'a': 0.002, 'e': 0.024428617147535518}",35,22,26.78010482405977,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
1857,False,"{'a': 0.002, 'e': 0.024379808737919537}",30,12,31.688581409401216,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
1858,False,"{'a': 0.002, 'e': 0.024331097847571002}",25,2,33.85067673642868,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
1859,False,"{'a': 0.002, 'e': 0.02428248428164631}",20,7,20.024208431182203,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
1860,False,"{'a': 0.002, 'e': 0.024233967845691113}",30,16,23.603453928701867,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
1861,False,"{'a': 0.002, 'e': 0.02418554834563962}",20,13,10.7759745896616,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
1862,False,"{'a': 0.002, 'e': 0.024137225587813747}",20,2,31.814701838805032,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
1863,False,"{'a': 0.002, 'e': 0.024088999378922418}",25,8,-37.00574109889764,"{0: 15, 1: 0, 2: 0, 3: 1, 4: 1}",1
1864,False,"{'a': 0.002, 'e': 0.024040869526060712}",20,5,18.702807539402066,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
1865,False,"{'a': 0.002, 'e': 0.023992835836709175}",20,4,-12.73939862313951,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 1}",1
1866,False,"{'a': 0.002, 'e': 0.023944898118732967}",25,13,22.016742323179773,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1867,False,"{'a': 0.002, 'e': 0.023897056180381168}",25,14,20.489537327482232,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
1868,False,"{'a': 0.002, 'e': 0.023849309830285947}",25,16,15.963520881229837,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
1869,False,"{'a': 0.002, 'e': 0.023801658877461853}",30,18,21.898771103138415,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1870,False,"{'a': 0.002, 'e': 0.023754103131304997}",20,3,29.571342655299606,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
1871,False,"{'a': 0.002, 'e': 0.023706642401592346}",25,16,19.000396350306143,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
1872,False,"{'a': 0.002, 'e': 0.0236592764984809}",30,19,21.106049335155582,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
1873,False,"{'a': 0.002, 'e': 0.023612005232507005}",20,13,6.703634033389526,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
1874,False,"{'a': 0.002, 'e': 0.02356482841458551}",30,11,27.524789742273356,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 0}",1
1875,False,"{'a': 0.002, 'e': 0.023517745856009107}",30,20,14.537108346426184,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1876,False,"{'a': 0.002, 'e': 0.023470757368447476}",30,15,20.831761751682894,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
1877,False,"{'a': 0.002, 'e': 0.023423862763946618}",35,21,30.016037055156502,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
1878,False,"{'a': 0.002, 'e': 0.023377061854928043}",20,10,19.309173383506156,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1879,False,"{'a': 0.002, 'e': 0.023330354454188063}",25,0,41.58401995260366,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",1
1880,False,"{'a': 0.002, 'e': 0.023283740374897}",20,15,10.457604508746941,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
1881,False,"{'a': 0.002, 'e': 0.023237219430598487}",25,6,35.178798033185075,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
1882,False,"{'a': 0.002, 'e': 0.023190791435208673}",25,7,30.530399148284527,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
1883,False,"{'a': 0.002, 'e': 0.023144456203015532}",25,16,15.499411608231917,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
1884,False,"{'a': 0.002, 'e': 0.02309821354867805}",30,19,23.170277976664522,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
1885,False,"{'a': 0.002, 'e': 0.02305206328722557}",25,11,13.261872223276114,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
